FromStationCode,ToStationCode,DistanceMiles,DistanceMinutes
A08,F06,8.84,31.0
A08,F07,10.1,34.0
A08,F08,10.96,36.0
A08,F09,11.64,39.0
A08,F10,12.97,41.0
A08,F11,14.67,44.0
A08,G01,10.69,37.0
A08,G02,12.08,40.0
A08,G03,13.04,43.0
A08,G04,14.36,46.0
A08,G05,15.56,49.0
A08,J02,14.97,49.0
A08,J03,18.11,55.0
A08,K01,7.14,30.0
A08,K02,7.53,32.0
A08,K03,7.9,33.0
A08,K04,8.29,35.0
A08,K05,9.95,39.0
A08,K06,11.26,42.0
A08,K07,13.64,46.0
A08,K08,16.03,49.0
A08,N01,12.69,47.0
A08,N02,13.34,49.0
A08,N03,14.02,51.0
A08,N04,14.49,53.0
A08,N06,19.95,61.0
A08,N07,21.04,63.0
A08,N08,22.39,66.0
A08,N09,24.06,69.0
A08,N10,25.99,73.0
A08,N11,27.82,79.0
A08,N12,29.68,83.0
A09,A01,7.14,18.0
A09,A02,6.45,16.0
A09,A03,5.94,14.0
A09,A04,4.75,12.0
A09,A05,4.04,9.0
A09,A06,3.41,7.0
A09,A07,2.5,5.0
A09,A08,1.72,3.0
A09,A10,1.05,2.0
A09,A11,3.27,5.0
A09,A12,4.65,8.0
A09,A13,5.73,11.0
A09,A14,7.66,14.0
A09,A15,10.32,18.0
A09,B01,7.36,20.0
A09,B02,7.7,22.0
A09,B03,8.13,24.0
A09,B04,8.65,28.0
A09,B05,8.86,30.0
A09,B06,8.98,33.0
A09,B07,9.31,36.0
A09,B08,9.69,39.0
A09,B09,10.56,42.0
A09,B10,11.82,45.0
A09,B11,13.41,49.0
A09,B35,8.3,26.0
A09,C01,7.14,18.0
A09,C02,7.2,24.0
A09,C03,7.3,25.0
A09,C04,7.48,27.0
A09,C05,8.13,30.0
A09,C06,9.03,32.0
A09,C07,9.54,33.0
A09,C08,10.06,34.0
A09,C09,10.61,36.0
A09,C10,11.08,38.0
A09,C11,12.56,41.0
A09,C12,13.87,43.0
A09,C13,14.42,45.0
A09,C14,14.96,47.0
A09,C15,15.43,48.0
A09,D01,7.42,24.0
A09,D02,7.77,26.0
A09,D03,8.21,28.0
A09,D04,8.45,30.0
A09,D05,8.9,32.0
A09,D06,9.32,34.0
A09,D07,9.9,36.0
A09,D08,10.25,37.0
A09,D09,11.64,41.0
A09,D10,12.17,43.0
A09,D11,13.05,45.0
A09,D12,14.39,48.0
A09,D13,15.49,51.0
A09,E01,7.42,27.0
A09,E02,7.47,28.0
A09,E03,7.52,30.0
A09,E04,7.6,32.0
A09,E05,7.98,35.0
A09,E06,8.98,33.0
A09,E07,10.78,41.0
A09,E08,11.68,44.0
A09,E09,13.37,47.0
A09,E10,15.14,50.0
A09,F01,7.36,20.0
A09,F02,7.7,26.0
A09,F03,8.21,28.0
A09,F04,8.92,30.0
A09,F05,9.39,32.0
A09,F06,10.52,34.0
A09,F07,11.78,37.0
A09,F08,12.64,39.0
A09,F09,13.27,42.0
A09,F10,14.58,44.0
A09,F11,16.28,47.0
A09,G01,12.2,40.0
A09,G02,13.56,43.0
A09,G03,14.51,46.0
A09,G04,15.77,49.0
A09,G05,16.93,52.0
A09,J02,16.6,52.0
A09,J03,19.69,58.0
A09,K01,8.83,33.0
A09,K02,9.19,35.0
A09,K03,9.55,36.0
A09,K04,9.9,38.0
A09,K05,11.39,42.0
A09,K06,12.5,45.0
A09,K07,14.84,49.0
A09,K08,17.15,52.0
A09,N01,13.71,50.0
A09,N02,14.35,52.0
A09,N03,15.0,54.0
A09,N04,15.41,56.0
A09,N06,20.68,64.0
A09,N07,21.74,66.0
A09,N08,23.08,69.0
A09,N09,24.72,72.0
A09,N10,26.66,76.0
A09,N11,28.39,82.0
A09,N12,30.22,86.0
A10,A01,8.15,20.0
A10,A02,7.47,18.0
A10,A03,6.96,16.0
A10,A04,5.77,14.0
A10,A05,5.06,11.0
A10,A06,4.43,9.0
A10,A07,3.54,7.0
A10,A08,2.76,5.0
A10,A09,1.05,2.0
A10,A11,2.23,3.0
A10,A12,3.6,6.0
A10,A13,4.69,9.0
A10,A14,6.63,12.0
A10,A15,9.29,16.0
A10,B01,8.36,22.0
A10,B02,8.7,24.0
A10,B03,9.12,26.0
A10,B04,9.58,30.0
A10,B05,9.75,32.0
A10,B06,9.82,35.0
A10,B07,10.04,38.0
A10,B08,10.27,41.0
A10,B09,10.9,44.0
A10,B10,11.99,47.0
A10,B11,13.5,51.0
A10,B35,9.27,28.0
A10,C01,8.15,20.0
A10,C02,8.22,26.0
A10,C03,8.33,27.0
A10,C04,8.51,29.0
A10,C05,9.18,32.0
A10,C06,10.08,34.0
A10,C07,10.59,35.0
A10,C08,11.11,36.0
A10,C09,11.66,38.0
A10,C10,12.13,40.0
A10,C11,13.6,43.0
A10,C12,14.92,45.0
A10,C13,15.47,47.0
A10,C14,16.0,49.0
A10,C15,16.48,50.0
A10,D01,8.44,26.0
A10,D02,8.79,28.0
A10,D03,9.23,30.0
A10,D04,9.46,32.0
A10,D05,9.9,34.0
A10,D06,10.31,36.0
A10,D07,10.88,38.0
A10,D08,11.22,39.0
A10,D09,12.55,43.0
A10,D10,13.04,45.0
A10,D11,13.89,47.0
A10,D12,15.16,50.0
A10,D13,16.22,53.0
A10,E01,8.42,29.0
A10,E02,8.46,30.0
A10,E03,8.51,32.0
A10,E04,8.59,34.0
A10,E05,8.92,37.0
A10,E06,9.82,35.0
A10,E07,11.55,43.0
A10,E08,12.4,46.0
A10,E09,14.02,49.0
A10,E10,15.68,52.0
A10,F01,8.36,22.0
A10,F02,8.71,28.0
A10,F03,9.23,30.0
A10,F04,9.94,32.0
A10,F05,10.4,34.0
A10,F06,11.52,36.0
A10,F07,12.8,39.0
A10,F08,13.64,41.0
A10,F09,14.25,44.0
A10,F10,15.55,46.0
A10,F11,17.25,49.0
A10,G01,13.12,42.0
A10,G02,14.45,45.0
A10,G03,15.38,48.0
A10,G04,16.61,51.0
A10,G05,17.74,54.0
A10,J02,17.62,54.0
A10,J03,20.7,60.0
A10,K01,9.87,35.0
A10,K02,10.23,37.0
