FromStationCode,ToStationCode,DistanceMiles,DistanceMinutes
D09,D13,5.29,10.0
D09,E01,5.21,23.0
D09,E02,5.49,24.0
D09,E03,5.91,26.0
D09,E04,6.6,28.0
D09,E05,6.99,31.0
D09,E06,7.7,34.0
D09,E07,8.35,37.0
D09,E08,9.25,40.0
D09,E09,10.71,43.0
D09,E10,13.14,46.0
D09,F01,4.91,21.0
D09,F02,4.74,20.0
D09,F03,4.52,13.0
D09,F04,4.89,20.0
D09,F05,4.91,22.0
D09,F06,5.53,24.0
D09,F07,6.54,27.0
D09,F08,7.05,29.0
D09,F09,7.2,32.0
D09,F10,8.17,34.0
D09,F11,9.78,37.0
D09,G01,2.68,12.0
D09,G02,4.06,15.0
D09,G03,5.04,18.0
D09,G04,6.46,21.0
D09,G05,7.76,24.0
D09,J02,14.31,45.0
D09,J03,17.59,51.0
D09,K01,8.7,28.0
D09,K02,9.19,30.0
D09,K03,9.64,31.0
D09,K04,10.2,33.0
D09,K05,12.6,37.0
D09,K06,14.49,40.0
D09,K07,16.73,44.0
D09,K08,19.21,47.0
D09,N01,16.41,50.0
D09,N02,17.02,52.0
D09,N03,17.73,54.0
D09,N04,18.32,56.0
D09,N06,23.95,64.0
D09,N07,25.07,66.0
D09,N08,26.41,69.0
D09,N09,28.12,72.0
D09,N10,30.01,76.0
D09,N11,32.0,82.0
D09,N12,33.9,86.0
D10,A01,5.98,20.0
D10,A02,6.67,27.0
D10,A03,7.03,29.0
D10,A04,7.92,31.0
D10,A05,8.49,34.0
D10,A06,9.02,36.0
D10,A07,10.06,38.0
D10,A08,10.72,40.0
D10,A09,12.17,43.0
D10,A10,13.04,45.0
D10,A11,15.0,48.0
D10,A12,16.32,51.0
D10,A13,17.38,54.0
D10,A14,19.39,57.0
D10,A15,21.97,61.0
D10,B01,5.69,23.0
D10,B02,5.75,29.0
D10,B03,5.82,31.0
D10,B04,6.41,35.0
D10,B05,6.96,37.0
D10,B06,8.14,36.0
D10,B07,9.96,43.0
D10,B08,11.36,46.0
D10,B09,12.96,49.0
D10,B10,14.51,52.0
D10,B11,16.14,56.0
D10,B35,6.01,33.0
D10,C01,5.98,20.0
D10,C02,6.34,21.0
D10,C03,6.72,22.0
D10,C04,7.24,24.0
D10,C05,8.48,27.0
D10,C06,8.24,33.0
D10,C07,7.51,25.0
D10,C08,8.05,26.0
D10,C09,8.26,28.0
D10,C10,8.46,30.0
D10,C11,9.75,33.0
D10,C12,11.06,35.0
D10,C13,11.7,37.0
D10,C14,12.4,39.0
D10,C15,12.91,40.0
D10,D01,5.86,19.0
D10,D02,5.73,17.0
D10,D03,5.35,15.0
D10,D04,5.02,13.0
D10,D05,4.46,11.0
D10,D06,3.99,9.0
D10,D07,3.49,7.0
D10,D08,2.84,6.0
D10,D09,0.88,2.0
D10,D11,1.16,2.0
D10,D12,2.97,5.0
D10,D13,4.41,8.0
D10,E01,5.95,25.0
D10,E02,6.19,26.0
D10,E03,6.59,28.0
D10,E04,7.24,30.0
D10,E05,7.57,33.0
D10,E06,8.14,36.0
D10,E07,8.63,39.0
D10,E08,9.44,42.0
D10,E09,10.8,45.0
D10,E10,13.21,48.0
D10,F01,5.69,23.0
D10,F02,5.54,22.0
D10,F03,5.35,15.0
D10,F04,5.74,22.0
D10,F05,5.78,24.0
D10,F06,6.42,26.0
D10,F07,7.41,29.0
D10,F08,7.9,31.0
D10,F09,8.02,34.0
D10,F10,8.88,36.0
D10,F11,10.44,39.0
D10,G01,3.37,14.0
D10,G02,4.41,17.0
D10,G03,5.33,20.0
D10,G04,6.65,23.0
D10,G05,7.9,26.0
D10,J02,15.19,47.0
D10,J03,18.47,53.0
D10,K01,9.49,30.0
D10,K02,9.98,32.0
D10,K03,10.44,33.0
D10,K04,11.0,35.0
D10,K05,13.39,39.0
D10,K06,15.25,42.0
D10,K07,17.51,46.0
D10,K08,20.0,49.0
D10,N01,17.14,52.0
D10,N02,17.75,54.0
D10,N03,18.46,56.0
D10,N04,19.03,58.0
D10,N06,24.66,66.0
D10,N07,25.78,68.0
D10,N08,27.12,71.0
D10,N09,28.82,74.0
D10,N10,30.72,78.0
D10,N11,32.68,84.0
D10,N12,34.57,88.0
D11,A01,7.11,22.0
D11,A02,7.78,29.0
D11,A03,8.12,31.0
D11,A04,8.96,33.0
D11,A05,9.5,36.0
D11,A06,10.0,38.0
D11,A07,11.04,40.0
D11,A08,11.66,42.0
D11,A09,13.05,45.0
D11,A10,13.89,47.0
D11,A11,15.78,50.0
D11,A12,17.07,53.0
D11,A13,18.11,56.0
D11,A14,20.11,59.0
D11,A15,22.67,63.0
D11,B01,6.81,25.0
D11,B02,6.88,31.0
D11,B03,6.95,33.0
D11,B04,7.44,37.0
D11,B05,7.9,39.0
D11,B06,8.98,38.0
D11,B07,10.73,45.0
D11,B08,12.09,48.0
D11,B09,13.66,51.0
D11,B10,15.17,54.0
D11,B11,16.76,58.0
D11,B35,7.12,35.0
D11,C01,7.11,22.0
D11,C02,7.45,23.0
D11,C03,7.83,24.0
D11,C04,8.35,26.0
D11,C05,9.6,29.0
D11,C06,9.37,35.0
D11,C07,8.66,27.0
D11,C08,9.21,28.0
D11,C09,9.42,30.0
D11,C10,9.62,32.0
D11,C11,10.9,35.0
D11,C12,12.2,37.0
D11,C13,12.84,39.0
D11,C14,13.54,41.0
D11,C15,14.05,42.0
D11,D01,6.99,21.0
D11,D02,6.87,19.0
D11,D03,6.5,17.0
D11,D04,6.17,15.0
D11,D05,5.62,13.0
D11,D06,5.15,11.0
D11,D07,4.65,9.0
D11,D08,4.0,8.0
D11,D09,2.03,4.0
D11,D10,1.16,2.0
D11,D12,1.81,3.0
D11,D13,3.26,6.0
D11,E01,7.05,27.0
D11,E02,7.27,28.0
D11,E03,7.66,30.0
D11,E04,8.26,32.0
D11,E05,8.53,35.0
D11,E06,8.98,38.0
D11,E07,9.29,41.0
D11,E08,9.97,44.0
D11,E09,11.11,47.0
D11,E10,13.45,50.0
D11,F01,6.81,25.0
D11,F02,6.68,24.0
D11,F03,6.5,17.0
D11,F04,6.9,24.0
D11,F05,6.94,26.0
D11,F06,7.56,28.0
D11,F07,8.52,31.0
D11,F08,8.98,33.0
D11,F09,9.05,36.0
D11,F10,9.79,38.0
D11,F11,11.24,41.0
D11,G01,4.41,16.0
D11,G02,5.03,19.0
D11,G03,5.78,22.0
D11,G04,6.88,25.0
D11,G05,8.05,28.0
D11,J02,16.34,49.0
D11,J03,19.63,55.0
D11,K01,10.61,32.0
D11,K02,11.11,34.0
D11,K03,11.57,35.0
D11,K04,12.13,37.0
D11,K05,14.51,41.0
D11,K06,16.34,44.0
D11,K07,18.63,48.0
D11,K08,21.11,51.0
D11,N01,18.2,54.0
D11,N02,18.82,56.0
D11,N03,19.53,58.0
D11,N04,20.09,60.0
D11,N06,25.71,68.0
D11,N07,26.82,70.0
D11,N08,28.16,73.0
D11,N09,29.86,76.0
D11,N10,31.77,80.0
D11,N11,33.7,86.0
D11,N12,35.58,90.0
D12,A01,8.84,25.0
D12,A02,9.48,32.0
D12,A03,9.79,34.0
D12,A04,10.56,36.0
D12,A05,11.05,39.0
D12,A06,11.5,41.0
D12,A07,12.52,43.0
D12,A08,13.1,45.0
D12,A09,14.39,48.0
D12,A10,15.16,50.0
D12,A11,16.94,53.0
D12,A12,18.18,56.0
D12,A13,19.19,59.0
D12,A14,21.18,62.0
D12,A15,23.68,66.0
D12,B01,8.55,28.0
D12,B02,8.63,34.0
D12,B03,8.7,36.0
D12,B04,9.06,40.0
D12,B05,9.42,42.0
D12,B06,10.35,41.0
D12,B07,11.94,48.0
D12,B08,13.24,51.0
D12,B09,14.73,54.0
D12,B10,16.16,57.0
D12,B11,17.68,61.0
D12,B35,8.83,38.0
D12,C01,8.84,25.0
D12,C02,9.17,26.0
D12,C03,9.54,27.0
D12,C04,10.06,29.0
D12,C05,11.31,32.0
D12,C06,11.12,38.0
D12,C07,10.44,30.0
D12,C08,11.0,31.0
D12,C09,11.22,33.0
D12,C10,11.43,35.0
D12,C11,12.71,38.0
D12,C12,14.01,40.0
D12,C13,14.66,42.0
D12,C14,15.36,44.0
D12,C15,15.86,45.0
D12,D01,8.74,24.0
D12,D02,8.63,22.0
D12,D03,8.27,20.0
D12,D04,7.95,18.0
D12,D05,7.41,16.0
D12,D06,6.94,14.0
D12,D07,6.46,12.0
D12,D08,5.81,11.0
D12,D09,3.85,7.0
D12,D10,2.97,5.0
D12,D11,1.81,3.0
D12,D13,1.45,3.0
D12,E01,8.75,30.0
D12,E02,8.93,31.0
D12,E03,9.3,33.0
D12,E04,9.84,35.0
D12,E05,10.05,38.0
D12,E06,10.35,41.0
D12,E07,10.5,44.0
D12,E08,10.96,47.0
D12,E09,11.71,50.0
D12,E10,13.83,53.0
D12,F01,8.55,28.0
D12,F02,8.43,27.0
D12,F03,8.27,20.0
D12,F04,8.69,27.0
D12,F05,8.74,29.0
D12,F06,9.38,31.0
D12,F07,10.32,34.0
D12,F08,10.75,36.0
D12,F09,10.81,39.0
D12,F10,11.45,41.0
D12,F11,12.78,44.0
D12,G01,6.21,19.0
D12,G02,6.62,22.0
D12,G03,7.11,25.0
D12,G04,7.76,28.0
D12,G05,8.64,31.0
D12,J02,18.15,52.0
D12,J03,21.44,58.0
D12,K01,12.33,35.0
D12,K02,12.83,37.0
D12,K03,13.29,38.0
D12,K04,13.85,40.0
D12,K05,16.2,44.0
D12,K06,18.0,47.0
D12,K07,20.31,51.0
D12,K08,22.79,54.0
D12,N01,19.8,57.0
D12,N02,20.43,59.0
D12,N03,21.14,61.0
D12,N04,21.68,63.0
D12,N06,27.26,71.0
D12,N07,28.37,73.0
D12,N08,29.72,76.0
D12,N09,31.4,79.0
D12,N10,33.32,83.0
D12,N11,35.2,89.0
D12,N12,37.07,93.0
D13,A01,10.22,28.0
D13,A02,10.85,35.0
D13,A03,11.14,37.0
D13,A04,11.86,39.0
D13,A05,12.32,42.0
D13,A06,12.74,44.0
D13,A07,13.74,46.0
D13,A08,14.29,48.0
D13,A09,15.49,51.0
D13,A10,16.22,53.0
D13,A11,17.9,56.0
D13,A12,19.09,59.0
D13,A13,20.08,62.0
D13,A14,22.04,65.0
D13,A15,24.49,69.0
D13,B01,9.94,31.0
D13,B02,10.03,37.0
D13,B03,10.11,39.0
D13,B04,10.4,43.0
D13,B05,10.71,45.0
D13,B06,11.54,44.0
D13,B07,13.01,51.0
D13,B08,14.23,54.0
D13,B09,15.65,57.0
D13,B10,17.01,60.0
D13,B11,18.45,64.0
D13,B35,10.21,41.0
D13,C01,10.22,28.0
D13,C02,10.54,29.0
D13,C03,10.91,30.0
D13,C04,11.43,32.0
D13,C05,12.67,35.0
D13,C06,12.51,41.0
D13,C07,11.86,33.0
D13,C08,12.42,34.0
D13,C09,12.65,36.0
D13,C10,12.87,38.0
D13,C11,14.16,41.0
D13,C12,15.46,43.0
D13,C13,16.1,45.0
D13,C14,16.8,47.0
D13,C15,17.3,48.0
D13,D01,10.14,27.0
D13,D02,10.04,25.0
D13,D03,9.69,23.0
D13,D04,9.37,21.0
D13,D05,8.83,19.0
D13,D06,8.38,17.0
D13,D07,7.9,15.0
D13,D08,7.25,14.0
D13,D09,5.29,10.0
D13,D10,4.41,8.0
D13,D11,3.26,6.0
D13,D12,1.45,3.0
D13,E01,10.12,33.0
D13,E02,10.28,34.0
D13,E03,10.64,36.0
D13,E04,11.14,38.0
D13,E05,11.31,41.0
D13,E06,11.54,44.0
D13,E07,11.62,47.0
D13,E08,11.97,50.0
D13,E09,12.44,53.0
D13,E10,14.25,56.0
D13,F01,9.94,31.0
D13,F02,9.83,30.0
D13,F03,9.69,23.0
D13,F04,10.12,30.0
D13,F05,10.18,32.0
D13,F06,10.82,34.0
D13,F07,11.77,37.0
D13,F08,12.19,39.0
D13,F09,12.24,42.0
D13,F10,12.84,44.0
D13,F11,14.1,47.0
D13,G01,7.65,22.0
D13,G02,8.01,25.0
D13,G03,8.42,28.0
D13,G04,8.85,31.0
D13,G05,9.47,34.0
D13,J02,19.6,55.0
D13,J03,22.88,61.0
D13,K01,13.7,38.0
D13,K02,14.21,40.0
D13,K03,14.67,41.0
D13,K04,15.23,43.0
D13,K05,17.56,47.0
D13,K06,19.32,50.0
D13,K07,21.65,54.0
D13,K08,24.13,57.0
D13,N01,21.08,60.0
D13,N02,21.71,62.0
D13,N03,22.42,64.0
D13,N04,22.95,66.0
D13,N06,28.5,74.0
D13,N07,29.6,76.0
D13,N08,30.95,79.0
D13,N09,32.62,82.0
D13,N10,34.55,86.0
D13,N11,36.39,92.0
D13,N12,38.24,96.0
E01,A01,0.75,9.0
E01,A02,1.31,11.0
E01,A03,1.67,13.0
E01,A04,2.73,15.0
E01,A05,3.41,18.0
E01,A06,4.02,20.0
E01,A07,5.03,22.0
E01,A08,5.77,24.0
E01,A09,7.42,27.0
E01,A10,8.42,29.0
E01,A11,10.58,32.0
E01,A12,11.96,35.0
E01,A13,13.05,38.0
E01,A14,15.02,41.0
E01,A15,17.68,45.0
E01,B01,0.57,2.0
E01,B02,0.85,9.0
E01,B03,1.29,11.0
E01,B04,2.53,15.0
E01,B05,3.28,17.0
E01,B06,3.81,11.0
E01,B07,5.52,19.0
E01,B08,6.84,22.0
E01,B09,8.45,25.0
E01,B10,10.05,28.0
E01,B11,11.78,32.0
E01,B35,1.63,13.0
E01,C01,0.75,9.0
E01,C02,1.01,15.0
E01,C03,1.37,16.0
E01,C04,1.89,18.0
E01,C05,3.14,20.0
E01,C06,3.58,18.0
E01,C07,3.46,10.0
E01,C08,4.05,11.0
E01,C09,4.42,13.0
E01,C10,4.77,15.0
E01,C11,6.27,18.0
E01,C12,7.67,20.0
E01,C13,8.3,22.0
E01,C14,8.95,24.0
E01,C15,9.46,25.0
E01,D01,1.04,14.0
E01,D02,1.41,12.0
E01,D03,1.48,5.0
E01,D04,1.67,12.0
E01,D05,2.06,14.0
E01,D06,2.48,16.0
E01,D07,3.07,18.0
E01,D08,3.5,19.0
E01,D09,5.21,23.0
E01,D10,5.95,25.0
E01,D11,7.05,27.0
E01,D12,8.75,30.0
E01,D13,10.12,33.0
E01,E02,0.48,1.0
E01,E03,0.87,3.0
E01,E04,1.7,5.0
E01,E05,2.44,8.0
E01,E06,3.81,11.0
E01,E07,5.35,14.0
E01,E08,6.47,17.0
E01,E09,8.3,20.0
E01,E10,10.67,23.0
E01,F01,0.57,2.0
E01,F02,0.92,3.0
E01,F03,1.48,5.0
E01,F04,2.18,7.0
E01,F05,2.58,9.0
E01,F06,3.69,11.0
E01,F07,4.98,14.0
E01,F08,5.8,16.0
E01,F09,6.44,19.0
E01,F10,7.78,21.0
E01,F11,9.48,24.0
E01,G01,5.7,22.0
E01,G02,7.15,25.0
E01,G03,8.13,28.0
E01,G04,9.56,31.0
E01,G05,10.85,34.0
E01,J02,11.31,32.0
E01,J03,14.62,38.0
E01,K01,4.16,24.0
E01,K02,4.67,26.0
E01,K03,5.13,27.0
E01,K04,5.69,29.0
E01,K05,8.04,33.0
E01,K06,9.88,36.0
E01,K07,12.16,40.0
E01,K08,14.64,43.0
E01,N01,11.78,41.0
E01,N02,12.39,43.0
E01,N03,13.11,45.0
E01,N04,13.69,47.0
E01,N06,19.32,55.0
E01,N07,20.44,57.0
E01,N08,21.78,60.0
E01,N09,23.49,63.0
E01,N10,25.38,67.0
E01,N11,27.39,73.0
E01,N12,29.28,77.0
E02,A01,1.21,10.0
E02,A02,1.66,12.0
E02,A03,1.91,14.0
E02,A04,2.84,16.0
E02,A05,3.49,19.0
E02,A06,4.09,21.0
E02,A07,5.11,23.0
E02,A08,5.84,25.0
E02,A09,7.47,28.0
E02,A10,8.46,30.0
E02,A11,10.61,33.0
E02,A12,11.98,36.0
E02,A13,13.08,39.0
E02,A14,15.05,42.0
E02,A15,17.71,46.0
E02,B01,1.04,3.0
E02,B02,1.32,10.0
E02,B03,1.71,12.0
E02,B04,2.65,16.0
E02,B05,3.34,18.0
E02,B06,3.34,10.0
E02,B07,5.04,18.0
E02,B08,6.37,21.0
E02,B09,7.97,24.0
E02,B10,9.58,27.0
E02,B11,11.3,31.0
E02,B35,1.92,14.0
E02,C01,1.21,10.0
E02,C02,1.41,16.0
E02,C03,1.73,17.0
E02,C04,2.22,19.0
E02,C05,3.46,21.0
E02,C06,3.97,19.0
E02,C07,3.9,11.0
E02,C08,4.5,12.0
E02,C09,4.88,14.0
E02,C10,5.24,16.0
E02,C11,6.75,19.0
E02,C12,8.15,21.0
E02,C13,8.77,23.0
E02,C14,9.41,25.0
E02,C15,9.93,26.0
E02,D01,1.51,15.0
E02,D02,1.89,13.0
E02,D03,1.96,6.0
E02,D04,2.14,13.0
E02,D05,2.51,15.0
E02,D06,2.91,17.0
E02,D07,3.48,19.0
E02,D08,3.87,20.0
E02,D09,5.49,24.0
E02,D10,6.19,26.0
E02,D11,7.27,28.0
E02,D12,8.93,31.0
E02,D13,10.28,34.0
E02,E01,0.48,1.0
E02,E03,0.43,2.0
E02,E04,1.25,4.0
E02,E05,1.96,7.0
E02,E06,3.34,10.0
E02,E07,4.93,13.0
E02,E08,6.06,16.0
E02,E09,7.9,19.0
E02,E10,10.25,22.0
E02,F01,1.04,3.0
E02,F02,1.4,4.0
E02,F03,1.96,6.0
E02,F04,2.66,8.0
E02,F05,3.04,10.0
E02,F06,4.15,12.0
E02,F07,5.44,15.0
E02,F08,6.26,17.0
E02,F09,6.86,20.0
E02,F10,8.18,22.0
E02,F11,9.88,25.0
E02,G01,6.0,23.0
E02,G02,7.44,26.0
E02,G03,8.42,29.0
E02,G04,9.83,32.0
E02,G05,11.11,35.0
E02,J02,11.74,33.0
E02,J03,15.05,39.0
E02,K01,4.49,25.0
E02,K02,5.0,27.0
E02,K03,5.46,28.0
E02,K04,6.01,30.0
E02,K05,8.33,34.0
E02,K06,10.14,37.0
E02,K07,12.43,41.0
E02,K08,14.92,44.0
E02,N01,12.0,42.0
E02,N02,12.62,44.0
E02,N03,13.33,46.0
E02,N04,13.9,48.0
E02,N06,19.53,56.0
E02,N07,20.65,58.0
E02,N08,21.99,61.0
E02,N09,23.69,64.0
E02,N10,25.59,68.0
E02,N11,27.57,74.0
E02,N12,29.46,78.0
E03,A01,1.55,12.0
E03,A02,1.88,14.0
E03,A03,2.05,16.0
E03,A04,2.89,18.0
E03,A05,3.53,21.0
E03,A06,4.13,23.0
E03,A07,5.16,25.0
E03,A08,5.89,27.0
E03,A09,7.52,30.0
E03,A10,8.51,32.0
E03,A11,10.67,35.0
E03,A12,12.05,38.0
E03,A13,13.14,41.0
E03,A14,15.11,44.0
E03,A15,17.77,48.0
E03,B01,1.42,5.0
E03,B02,1.72,12.0
E03,B03,2.13,14.0
E03,B04,3.01,18.0
E03,B05,3.41,16.0
E03,B06,3.06,8.0
E03,B07,4.69,16.0
E03,B08,6.0,19.0
E03,B09,7.59,22.0
E03,B10,9.2,25.0
E03,B11,10.92,29.0
E03,B35,2.35,16.0
E03,C01,1.55,12.0
E03,C02,1.69,18.0
E03,C03,1.96,19.0
E03,C04,2.41,21.0
E03,C05,3.62,23.0
E03,C06,4.19,21.0
E03,C07,4.18,13.0
E03,C08,4.77,14.0
E03,C09,5.18,16.0
E03,C10,5.56,18.0
E03,C11,7.07,21.0
E03,C12,8.47,23.0
E03,C13,9.09,25.0
E03,C14,9.72,27.0
E03,C15,10.23,28.0
E03,D01,1.85,17.0
E03,D02,2.23,15.0
E03,D03,2.33,8.0
E03,D04,2.53,15.0
E03,D05,2.93,17.0
E03,D06,3.33,19.0
E03,D07,3.91,21.0
E03,D08,4.3,22.0
E03,D09,5.91,26.0
E03,D10,6.59,28.0
E03,D11,7.66,30.0
E03,D12,9.3,33.0
E03,D13,10.64,36.0
E03,E01,0.87,3.0
E03,E02,0.43,2.0
E03,E04,0.84,2.0
E03,E05,1.61,5.0
E03,E06,3.06,8.0
E03,E07,4.72,11.0
E03,E08,5.85,14.0
E03,E09,7.7,17.0
E03,E10,10.03,20.0
E03,F01,1.42,5.0
E03,F02,1.77,6.0
E03,F03,2.33,8.0
E03,F04,3.04,10.0
E03,F05,3.44,12.0
E03,F06,4.56,14.0
E03,F07,5.84,17.0
E03,F08,6.67,19.0
E03,F09,7.29,22.0
E03,F10,8.61,24.0
E03,F11,10.31,27.0
E03,G01,6.42,25.0
E03,G02,7.86,28.0
E03,G03,8.84,31.0
E03,G04,10.24,34.0
E03,G05,11.51,37.0
E03,J02,11.99,35.0
E03,J03,15.29,41.0
E03,K01,4.65,27.0
E03,K02,5.16,29.0
E03,K03,5.63,30.0
E03,K04,6.17,32.0
E03,K05,8.46,36.0
E03,K06,10.24,39.0
E03,K07,12.55,43.0
E03,K08,15.03,46.0
E03,N01,12.08,44.0
E03,N02,12.7,46.0
E03,N03,13.41,48.0
E03,N04,13.98,50.0
E03,N06,19.6,58.0
E03,N07,20.72,60.0
E03,N08,22.06,63.0
E03,N09,23.76,66.0
E03,N10,25.66,70.0
E03,N11,27.64,76.0
E03,N12,29.53,80.0
E04,A01,2.37,14.0
E04,A02,2.61,16.0
E04,A03,2.68,18.0
E04,A04,3.15,20.0
E04,A05,3.69,23.0
E04,A06,4.25,25.0
E04,A07,5.29,27.0
E04,A08,6.0,29.0
E04,A09,7.6,32.0
E04,A10,8.59,34.0
E04,A11,10.73,37.0
E04,A12,12.11,40.0
E04,A13,13.21,43.0
E04,A14,15.18,46.0
E04,A15,17.84,50.0
E04,B01,2.25,7.0
E04,B02,2.56,14.0
E04,B03,2.96,16.0
E04,B04,3.36,16.0
E04,B05,2.96,14.0
E04,B06,2.39,6.0
E04,B07,3.91,14.0
E04,B08,5.18,17.0
E04,B09,6.77,20.0
E04,B10,8.37,23.0
E04,B11,10.09,27.0
E04,B35,3.12,18.0
E04,C01,2.37,14.0
E04,C02,2.48,20.0
E04,C03,2.7,21.0
E04,C04,3.07,23.0
E04,C05,4.2,25.0
E04,C06,4.86,23.0
E04,C07,4.92,15.0
E04,C08,5.51,16.0
E04,C09,5.95,18.0
E04,C10,6.35,20.0
E04,C11,7.86,23.0
E04,C12,9.25,25.0
E04,C13,9.87,27.0
E04,C14,10.49,29.0
E04,C15,10.99,30.0
E04,D01,2.67,19.0
E04,D02,3.04,17.0
E04,D03,3.16,10.0
E04,D04,3.36,17.0
E04,D05,3.76,19.0
E04,D06,4.15,21.0
E04,D07,4.73,23.0
E04,D08,5.09,24.0
E04,D09,6.6,28.0
E04,D10,7.24,30.0
E04,D11,8.26,32.0
E04,D12,9.84,35.0
E04,D13,11.14,38.0
E04,E01,1.7,5.0
E04,E02,1.25,4.0
E04,E03,0.84,2.0
E04,E05,0.87,3.0
E04,E06,2.39,6.0
E04,E07,4.17,9.0
E04,E08,5.29,12.0
E04,E09,7.15,15.0
E04,E10,9.43,18.0
E04,F01,2.25,7.0
E04,F02,2.6,8.0
E04,F03,3.16,10.0
E04,F04,3.87,12.0
E04,F05,4.28,14.0
E04,F06,5.4,16.0
E04,F07,6.68,19.0
E04,F08,7.5,21.0
E04,F09,8.1,24.0
E04,F10,9.41,26.0
E04,F11,11.12,29.0
E04,G01,7.14,27.0
E04,G02,8.56,30.0
E04,G03,9.53,33.0
E04,G04,10.9,36.0
E04,G05,12.15,39.0
E04,J02,12.68,37.0
E04,J03,15.96,43.0
E04,K01,5.2,29.0
E04,K02,5.7,31.0
E04,K03,6.17,32.0
E04,K04,6.69,34.0
E04,K05,8.91,38.0
E04,K06,10.62,41.0
E04,K07,12.95,45.0
E04,K08,15.43,48.0
E04,N01,12.39,46.0
E04,N02,13.02,48.0
E04,N03,13.73,50.0
E04,N04,14.28,52.0
E04,N06,19.88,60.0
E04,N07,20.99,62.0
E04,N08,22.34,65.0
E04,N09,24.03,68.0
E04,N10,25.94,72.0
E04,N11,27.88,78.0
E04,N12,29.76,82.0
E05,A01,3.15,17.0
E05,A02,3.45,19.0
E05,A03,3.54,21.0
E05,A04,3.93,23.0
E05,A05,4.34,26.0
E05,A06,4.8,28.0
E05,A07,5.83,30.0
E05,A08,6.48,32.0
E05,A09,7.98,35.0
E05,A10,8.92,37.0
E05,A11,11.02,40.0
E05,A12,12.39,43.0
E05,A13,13.47,46.0
E05,A14,15.46,49.0
E05,A15,18.11,53.0
E05,B01,3.0,10.0
E05,B02,3.28,17.0
E05,B03,3.61,17.0
E05,B04,2.84,13.0
E05,B05,2.26,11.0
E05,B06,1.53,3.0
E05,B07,3.09,11.0
E05,B08,4.41,14.0
E05,B09,6.02,17.0
E05,B10,7.63,20.0
E05,B11,9.35,24.0
E05,B35,3.63,15.0
E05,C01,3.15,17.0
E05,C02,3.3,23.0
E05,C03,3.54,24.0
E05,C04,3.93,26.0
E05,C05,5.06,28.0
E05,C06,5.72,26.0
E05,C07,5.77,18.0
E05,C08,6.36,19.0
E05,C09,6.78,21.0
E05,C10,7.17,23.0
E05,C11,8.68,26.0
E05,C12,10.08,28.0
E05,C13,10.7,30.0
E05,C14,11.32,32.0
E05,C15,11.83,33.0
E05,D01,3.46,22.0
E05,D02,3.83,20.0
E05,D03,3.92,13.0
E05,D04,4.1,20.0
E05,D05,4.44,22.0
E05,D06,4.79,24.0
E05,D07,5.33,26.0
E05,D08,5.63,27.0
E05,D09,6.99,31.0
E05,D10,7.57,33.0
E05,D11,8.53,35.0
E05,D12,10.05,38.0
E05,D13,11.31,41.0
E05,E01,2.44,8.0
E05,E02,1.96,7.0
E05,E03,1.61,5.0
E05,E04,0.87,3.0
E05,E06,1.53,3.0
E05,E07,3.36,6.0
E05,E08,4.46,9.0
E05,E09,6.32,12.0
E05,E10,8.57,15.0
E05,F01,3.0,10.0
E05,F02,3.36,11.0
E05,F03,3.92,13.0
E05,F04,4.62,15.0
E05,F05,4.98,17.0
E05,F06,6.08,19.0
E05,F07,7.37,22.0
E05,F08,8.16,24.0
E05,F09,8.7,27.0
E05,F10,9.96,29.0
E05,F11,11.66,32.0
E05,G01,7.55,30.0
E05,G02,8.93,33.0
E05,G03,9.89,36.0
E05,G04,11.22,39.0
E05,G05,12.43,42.0
E05,J02,13.54,40.0
E05,J03,16.83,46.0
E05,K01,6.06,32.0
E05,K02,6.56,34.0
E05,K03,7.02,35.0
E05,K04,7.54,37.0
E05,K05,9.72,41.0
E05,K06,11.38,44.0
E05,K07,13.74,48.0
E05,K08,16.21,51.0
E05,N01,13.1,49.0
E05,N02,13.73,51.0
E05,N03,14.44,53.0
E05,N04,14.97,55.0
E05,N06,20.55,63.0
E05,N07,21.65,65.0
E05,N08,23.0,68.0
E05,N09,24.69,71.0
E05,N10,26.6,75.0
E05,N11,28.51,81.0
E05,N12,30.38,85.0
E06,A01,4.55,15.0
E06,A02,4.93,17.0
E06,A03,5.05,19.0
E06,A04,5.45,21.0
E06,A05,5.78,24.0
E06,A06,6.15,26.0
E06,A07,7.12,28.0
E06,A08,7.67,30.0
E06,A09,8.98,33.0
E06,A10,9.82,35.0
E06,A11,11.78,38.0
E06,A12,13.11,41.0
E06,A13,14.18,44.0
E06,A14,16.19,47.0
E06,A15,18.8,51.0
E06,B01,4.36,13.0
E06,B02,4.26,11.0
E06,B03,3.86,9.0
E06,B04,2.19,5.0
E06,B05,1.35,3.0
E06,B06,,
E06,B07,1.89,3.0
E06,B08,3.3,6.0
E06,B09,4.94,9.0
E06,B10,6.53,12.0
E06,B11,8.22,16.0
E06,B35,3.21,7.0
E06,C01,4.55,15.0
E06,C02,4.74,21.0
E06,C03,5.02,22.0
E06,C04,5.44,24.0
E06,C05,6.59,27.0
E06,C06,7.23,29.0
E06,C07,7.23,21.0
E06,C08,7.83,22.0
E06,C09,8.22,24.0
E06,C10,8.58,26.0
E06,C11,10.08,29.0
E06,C12,11.48,31.0
E06,C13,12.11,33.0
E06,C14,12.75,35.0
